question,correct_answer,possible_answers,type
Who was the screenwriter for The Castle?,Franz Kafka,"[""Franz Kafka"", ""František Kafka"", ""Kafka""]",screenwriter
Who was the composer of August?,Anthony Hopkins,"[""Anthony Hopkins"", ""Sir Anthony Hopkins"", ""Philip Anthony Hopkins"", ""Sir Philip Anthony Hopkins"", ""Sir Anthony Philip Hopkins""]",composer
Who was the screenwriter for The Switch?,Allan Loeb,"[""Allan Loeb""]",screenwriter
In what country is Riva?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is the capital of Tarnogsky District?,Tarnogsky Gorodok,"[""Tarnogsky Gorodok""]",capital
Who was the director of Dig?,Gideon Raff,"[""Gideon Raff""]",director
What genre is Pieter Jacobsz Duyfhuysen?,genre painting,"[""genre painting"", ""petit genre""]",genre
In what country is Francis?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""Can.""]",country
Who is the author of First Things First?,Stephen Covey,"[""Stephen Covey"", ""Stephen Richards Covey""]",author
Who is the father of Cornelis de Heem?,Jan Davidsz. de Heem,"[""Jan Davidsz. de Heem"", ""Jan Davidsz de Heem"", ""Jan Davidszoon De Heem"", ""Jan de Heem"", ""Jan David de Heem"", ""John David de Haem"", ""Monsù Gem Fiammengo"", ""Jan Davidsz. De Hume"", ""Jan Davidsz. De Heen"", ""He Heem"", ""Jan D. Heem"", ""Jan Davidsz. Ditteems"", ""Jan van Heem"", ""Jan Davidts de Heem"", ""Jan Davidsz. De Hum"", ""Jan Davidsz. Deheem"", ""Jan Davidsz. De Heeme"", ""Jan Davidsz. de, I Heem"", ""Jan Davidsz. vander Eem"", ""Jan Davidsz. D'Heem de Oude"", ""Jan Davidsz. Deheim"", ""Jan Davidsz. Deheme"", ""D. Heem"", ""Jan Davidsz. De Hemee"", ""Jan Davidsz. van Heem"", ""Jan Davidsz. de Hemm"", ""Jan Davidsz. de Heem de Oude"", ""Jan Davidsz. Deehem"", ""I. D. De Heem"", ""Jan Davidsz. De Heme"", ""Johan de Heem"", ""John David de Haeem"", ""John David de Heem"", ""Jan Davidsz. De Hem"", ""Jan Davidsz. Du Hem"", ""Jan Davidsz. Dahem"", ""Jan Davidsz.de Heem"", ""Johannes de Heem"", ""Jan Davidtsz. van Antwerpen"", ""Johannes van Antwerpen"", ""I. de Heem"", ""Monsu Gem Fiammengo"", ""Jan Davisz de Heem"", ""Jean David Dehem"", ""Jan Davids de Heem"", ""J. David Deheem"", ""Jan de Hoem"", ""heem jan davidz de"", ""de heem jan davidcz"", ""le grand-père de David Dekene"", ""Jean David De Heem"", ""Jean Deheem"", ""J. Heen"", ""de Hern"", ""Johann Heem"", ""Jan Dav. De Heem"", ""J. D'Heem"", ""Old Deheem"", ""Jan Davidsen de Heem"", ""J.D. de Heem. fecit."", ""J. Dehem"", ""J. David De Heem"", ""Deheeme"", ""de heem j.d."", ""J. D. Dehem"", ""Johan. de Heem"", ""jan davisz de hern"", ""Jean-David de Hem"", ""J. Davidz de Heem"", ""J.D. de Hemm"", ""J. D. de Heem. fecit"", ""de oude D'Heem"", ""jan davidz de heem"", ""david de heem"", ""J. D. Deheem"", ""Jean Dehem"", ""d'oude de Heem"", ""Johann David von Heem"", ""J.-D de Heem"", ""old Deheeme"", ""de oude de Heem"", ""John de Heem"", ""J. D. Deehem"", ""J. De Heem"", ""Joh. Dav. de Heem"", ""D. Heym"", ""de Heame"", ""J. D. D. Oude de Heem"", ""J.D. Heem"", ""Jean de Hem"", ""Jean-David De Heem"", ""Joh. de Heem"", ""J. de Herm"", ""Monsu` Gem Fiammengo"", ""jan davidsz heem"", ""Jan Davidse de Heem"", ""Joh. Dehéem"", ""Joh. Deheém"", ""J. D. D'Heem"", ""J. D'Hem"", ""J.-B. Dehem"", ""J.D. De Heem"", ""Jean David Deheem"", ""David de Heym"", ""T. D. Deheem"", ""J.D. Dehem"", ""Jean Dav. de Heem"", ""J. Deheem"", ""Davidsz de Heem"", ""Joh. David de Heem"", ""J.D. de Heem. fecit"", ""Johann David de Heem"", ""Joh. David de Héem"", ""Jean-David Deheem"", ""J.D. Deheem"", ""J. D. de Heem"", ""I.D. Deheem"", ""Jean de Heem"", ""I.D. De Heem"", ""Jan Davidze de Heem"", ""B. Heem"", ""Jean David de Hem"", ""Jan Davidsz van Heem""]",father
In what country is Ida Ridge?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""Can.""]",country
What genre is The Shadow?,superhero film,"[""superhero film"", ""Superhero movie"", ""Superhero motion picture""]",genre
In what city was Antigoni Goni born?,Athens,"[""Athens""]",place of birth
Who was the screenwriter for Os?,Graham Roland,"[""Graham Roland"", ""Josh Singer""]",screenwriter
Who was the composer of Imagine This?,Shuki Levy,"[""Shuki Levy"", ""Yehoshua Levy"", ""Shuki Y. Levy"", ""Shuky Levy"", ""Shuky""]",composer
Who was the director of Bhoopathi Ranga?,Geethapriya,"[""Geethapriya"", ""Lakshman Rao Mohite""]",director
Who was the director of The Anniversary?,Roy Ward Baker,"[""Roy Ward Baker"", ""Roy Baker""]",director
Who is the author of Catullus 85?,Catullus,"[""Catullus"", ""Gaius Valerius Catullus""]",author
Who was the director of Dil?,Indra Kumar,"[""Indra Kumar""]",director
Who was the director of A Self-Made Failure?,William Beaudine,"[""William Beaudine"", ""William Washington Beaudine""]",director
What is The Hague the capital of?,South Holland,"[""South Holland"", ""Zuid-Holland""]",capital of
What is Marjorie Margolies-Mezvinsky's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is the capital of Canton of Valais?,Sion,"[""Sion"", ""Sitten"", ""Sion VS""]",capital
Who was the composer of See Me Now?,Kanye West,"[""Kanye West"", ""Kanye Omari West"", ""Yeezy"", ""Ye"", ""Yeezus"", ""The Fly Malcolm X"", ""Malcolm West"", ""Mr. West""]",composer
Who is the author of Small Island?,Andrea Levy,"[""Andrea Levy""]",author
What genre is The Capture?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
What is the capital of Appenzell Ausserrhoden?,Herisau,"[""Herisau"", ""Herisau AR"", ""Trogen"", ""Trogen AR""]",capital
What is the capital of Ondo State?,Akure,"[""Akure""]",capital
Who was the composer of Roma?,Jules Massenet,"[""Jules Massenet""]",composer
Who was the producer of The Body?,Roy Battersby,"[""Roy Battersby""]",producer
In what country is Burns?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the screenwriter for A Busy Day?,Charlie Chaplin,"[""Charlie Chaplin"", ""Charles Spencer Chaplin"", ""Charles Chaplin"", ""Sir Charles Spencer Chaplin""]",screenwriter
Who was the composer of Sierra?,John Denver,"[""John Denver"", ""Henry John Deutschendorf Jr."", ""John Deutschendorf Jr.""]",composer
Who was the producer of Angel?,Ernst Lubitsch,"[""Ernst Lubitsch""]",producer
Who was the screenwriter for The Rubber Gun?,Stephen Lack,"[""Stephen Lack""]",screenwriter
Who was the producer of Nuts?,Barbra Streisand,"[""Barbra Streisand"", ""Barbra Joan Streisand"", ""Barbara Joan Streisand""]",producer
Who was the composer of Gran Torino?,Michael Stevens,"[""Michael Stevens"", ""Kyle Eastwood""]",composer
Who was the screenwriter for The Apartment?,Billy Wilder,"[""Billy Wilder"", ""Samuel Wilder""]",screenwriter
What genre is Sugar?,romance film,"[""romance film"", ""romance genre"", ""romantic film""]",genre
Who is the father of Clem Michael?,Stephen Michael,"[""Stephen Michael"", ""Stephen Albert Michael""]",father
Who was the screenwriter for Arizona?,Douglas Fairbanks,"[""Douglas Fairbanks"", ""Douglas Fairbanks, Sr."", ""Douglas Elton Thomas Ullman"", ""Douglas Ullman"", ""Doug Fairbanks"", ""Albert Parker""]",screenwriter
Who was the director of Passion?,Brian De Palma,"[""Brian De Palma"", ""Brian Russell De Palma""]",director
What is the capital of Kingdom of Italy?,Florence,"[""Florence"", ""Firenze"", ""Florence, Italy"", ""Florence, Tuscany"", ""Florencia"", ""Florentia"", ""Florenz"", ""Firenca"", ""Florencie"", ""Fiuränza"", ""Florentzia"", ""Firense"", ""Firenz"", ""Firenzi"", ""Rome"", ""The Eternal City"", ""Roma"", ""Rome Italy"", ""Turin"", ""Torino"", ""Turin, Italy""]",capital
Who was the director of Camp?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",director
What is the capital of Schleswig-Holstein?,Kiel,"[""Kiel""]",capital
Who was the producer of The Homesman?,Tommy Lee Jones,"[""Tommy Lee Jones"", ""Thomas Lee Jones""]",producer
Who was the director of Small Time?,Shane Meadows,"[""Shane Meadows""]",director
What is the capital of Worth County?,Sylvester,"[""Sylvester"", ""Sylvester, Georgia""]",capital
Who was the screenwriter for Stereo?,David Cronenberg,"[""David Cronenberg"", ""David Paul Cronenberg"", ""David P. Cronenberg"", ""David Cronenburg""]",screenwriter
In what country is Mount Cleveland?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who is the father of Carl Grimes?,Rick Grimes,"[""Rick Grimes""]",father
What genre is Women?,art rock,"[""art rock""]",genre
What is the religion of Spring Arbor University?,Free Methodist Church,"[""Free Methodist Church""]",religion
Who was the screenwriter for Love?,Roscoe Arbuckle,"[""Roscoe Arbuckle"", ""Fatty Arbuckle"", ""Roscoe Conkling Arbuckle"", ""William Goodrich""]",screenwriter
What is the religion of Peter I?,Lutheranism,"[""Lutheranism"", ""Lutheran Church"", ""Lutherans""]",religion
Who was the screenwriter for Wish You Were Here?,David Leland,"[""David Leland""]",screenwriter
Who was the producer of Anonymous?,John Orloff,"[""John Orloff"", ""Roland Emmerich""]",producer
Who was the producer of Primary?,Robert Drew,"[""Robert Drew"", ""Robert Lincoln Drew""]",producer
What is the religion of Bellino Giusto Ghirard?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
Who was the director of The Lovers?,Tsui Hark,"[""Tsui Hark""]",director
Who was the producer of Vitti Dandu?,Ajay Devgn,"[""Ajay Devgn"", ""Vishal Devgan"", ""Ajay Devgan""]",producer
What genre is Insight?,anthology series,"[""anthology series""]",genre
Who was the producer of Trade?,Roland Emmerich,"[""Roland Emmerich""]",producer
What color is Juventus F.C.?,white,"[""white"", ""W"", ""color white"", ""#FFFFFF""]",color
What is Yoshiki Tonogai's occupation?,mangaka,"[""mangaka"", ""manga artist""]",occupation
Who was the screenwriter for From the Terrace?,Ernest Lehman,"[""Ernest Lehman"", ""Ernest Paul Lehman"", ""John O'Hara"", ""John Henry O'Hara""]",screenwriter
Who was the director of Stretch?,Joe Carnahan,"[""Joe Carnahan"", ""Joseph Aaron \""Joe\"" Carnahan"", ""Joseph Aaron Carnahan""]",director
Who was the composer of The Host?,Lee Byung-woo,"[""Lee Byung-woo"", ""Lee Byeong-u"", ""Lee Byeong-woo""]",composer
Who is the author of Gospel of Matthew?,Matthew the Apostle,"[""Matthew the Apostle"", ""Saint Matthew"", ""Matthew"", ""Matthew the Evangelist""]",author
"Who is the father of William de Mandeville, 3rd Earl of Essex?","Geoffrey de Mandeville, 1st Earl of Essex","[""Geoffrey de Mandeville, 1st Earl of Essex""]",father
"Who is the father of Johann VII, Duke of Mecklenburg?","John Albert I, Duke of Mecklenburg","[""John Albert I, Duke of Mecklenburg"", ""Johann Albrecht I Herzog von Mecklenburg""]",father
Who was the composer of Something?,George Harrison,"[""George Harrison"", ""The Quiet Beatle"", ""Nelson Wilbury"", ""00013482508 IPI""]",composer
Who was the screenwriter for Good News?,Betty Comden,"[""Betty Comden"", ""Basya Cohen""]",screenwriter
Who was the producer of Breaking Point?,Bob Clark,"[""Bob Clark"", ""Benjamin \""Bob\"" Clark"", ""Benjamin Robert Clark""]",producer
Who was the producer of Trash?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",producer
In what city was David Harris Willson born?,Philadelphia,"[""Philadelphia"", ""Philly"", ""City of Brotherly Love"", ""Cradle of Liberty"", ""Philadelphia, Pennsylvania"", ""City of Philadelphia"", ""Philadelphia, PA""]",place of birth
Who was the screenwriter for Quitting?,Zhang Yang,"[""Zhang Yang"", ""Yang Zhang""]",screenwriter
Who was the director of Green Hell?,James Whale,"[""James Whale""]",director
In what city was Xue Fei born?,Beijing,"[""Beijing"", ""Peking"", ""Beiping"", ""Peiping"", ""Yanjing"", ""Zhongdu"", ""Khanbaliq"", ""BJ"", ""Shun Tian Fu"", ""Pekin""]",place of birth
Who was the screenwriter for Tape?,Stephen Belber,"[""Stephen Belber""]",screenwriter
Who is the author of Off the Road?,Carolyn Cassady,"[""Carolyn Cassady"", ""Carolyn Elizabeth Robinson Cassady""]",author
Who is the author of Hagarism?,Patricia Crone,"[""Patricia Crone"", ""Michael Cook"", ""Michael Allan Cook""]",author
Who was the producer of Clue?,Debra Hill,"[""Debra Hill"", ""John Landis""]",producer
Who was the producer of One Way?,Til Schweiger,"[""Til Schweiger"", ""Tilman Valentin Schweiger""]",producer
Who was the screenwriter for Rising?,Brad Wright,"[""Brad Wright""]",screenwriter
Who was the director of The Fool?,Christine Edzard,"[""Christine Edzard""]",director
Who was the producer of April?,Nanni Moretti,"[""Nanni Moretti"", ""Giovanni \""Nanni\"" Moretti"", ""Giovanni Moretti""]",producer
Who is the father of Michael VII Doukas?,Konstantinos X Doukas,"[""Konstantinos X Doukas"", ""Constantine X Ducas, Emperor of Constantinople""]",father
What sport does Mario Rigamonti play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the producer of Mast?,Ram Gopal Varma,"[""Ram Gopal Varma"", ""RGV"", ""Penmetsa Ram Gopal Varma""]",producer
Who is the author of Alice?,Judith Hermann,"[""Judith Hermann""]",author
Who was the director of Busted?,Corey Feldman,"[""Corey Feldman""]",director
Who was the producer of Daddy?,Allu Aravind,"[""Allu Aravind""]",producer
Who is the author of The Rising?,Tim LaHaye,"[""Tim LaHaye"", ""Timothy LaHaye"", ""Timothy F. \""Tim\"" LaHaye"", ""Timothy Francis LaHaye"", ""Tim Francis LaHaye""]",author
In what city was Edgar Manas born?,Istanbul,"[""Istanbul"", ""İstanbul""]",place of birth
What is Karen Redman's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
In what country is Lima?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
In what city was John Johnson born?,LaGrange,"[""LaGrange"", ""LaGrange, Georgia"", ""La Grange""]",place of birth
Who was the director of Camera?,David Cronenberg,"[""David Cronenberg"", ""David Paul Cronenberg"", ""David P. Cronenberg"", ""David Cronenburg""]",director
Who is the author of The Economics and Ethics of Private Property?,Hans-Hermann Hoppe,"[""Hans-Hermann Hoppe""]",author
Who was the composer of Remember the Time?,Michael Jackson,"[""Michael Jackson"", ""MJ"", ""The King of Pop"", ""Michael Joe Jackson"", ""Michael Joseph Jackson"", ""M.J."", ""M. J."", ""King of Pop"", ""King of Music"", ""The King""]",composer
Who was the producer of The Bay?,Barry Levinson,"[""Barry Levinson""]",producer
What sport does Vasili Penyasov play?,association football,"[""association football"", ""football"", ""soccer""]",sport
In what city was Hank Autry born?,Hattiesburg,"[""Hattiesburg"", ""Hattiesburg, Mississippi""]",place of birth
What genre is Arise?,death metal,"[""death metal"", ""thrash metal"", ""trash metal"", ""thrash"", ""Best early thrash metal""]",genre
Who was the director of Out of Control?,Dominic Savage,"[""Dominic Savage""]",director
Who was the producer of LOL?,Joe Swanberg,"[""Joe Swanberg"", ""Joseph Swanberg""]",producer
Who was the screenwriter for The Fever?,Wallace Shawn,"[""Wallace Shawn"", ""Wallace Michael Shawn"", ""Wally Shawn""]",screenwriter
What genre is The Fly?,horror film,"[""horror film"", ""horror movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
Who is the father of Mwanga II of Buganda?,Muteesa I,"[""Muteesa I"", ""Muteesa I Mukaabya Walugembe Kayiira""]",father
What is Boutheina Jabnoun's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
Who was the screenwriter for Genesis: The Creation and the Flood?,Ermanno Olmi,"[""Ermanno Olmi""]",screenwriter
What genre is Convicted?,film noir,"[""film noir""]",genre
Who is the author of Hope?,Mark Clapham,"[""Mark Clapham"", ""Mark  Clapham""]",author
Who was the producer of Grounds for Marriage?,Samuel Marx,"[""Samuel Marx""]",producer
Who is the author of Mute?,Stephen King,"[""Stephen King"", ""Stephen Edwin King"", ""Richard Bachman"", ""John Swithen""]",author
Who was the composer of Trans?,Karlheinz Stockhausen,"[""Karlheinz Stockhausen"", ""Karl-Heinz Stockhausen""]",composer
Who is the author of Relic?,Douglas Preston,"[""Douglas Preston"", ""Douglas Jerome Preston"", ""Douglas J. Preston"", ""Lincoln Child""]",author
Who is the author of Empire and Communications?,Harold Innis,"[""Harold Innis"", ""Harold Adams Innis""]",author
Who was the composer of Fat Girl?,Pierluigi Balducci,"[""Pierluigi Balducci""]",composer
Who was the screenwriter for Legion?,Rob Grant,"[""Rob Grant"", ""Robert Grant""]",screenwriter
What genre is Beautiful Garbage?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What is the religion of Roman Republic?,ancient Roman religion,"[""ancient Roman religion"", ""Roman religion"", ""Religio Romana"", ""Roman polytheism"", ""ancient Roman polytheism""]",religion
Who was the producer of Marc?,Muriel Young,"[""Muriel Young""]",producer
What is the capital of Nord?,Lille,"[""Lille"", ""Rijsel"", ""Lile"", ""Rysel""]",capital
Who was the screenwriter for Love Letter?,Shunji Iwai,"[""Shunji Iwai"", ""Iwai Shunji""]",screenwriter
Who was the screenwriter for Love Love Love?,Brad Falchuk,"[""Brad Falchuk"", ""Bradley Douglas Falchuk""]",screenwriter
Who is the father of Sybilla of Normandy?,Henry I of England,"[""Henry I of England"", ""Henry Beauclerc"", ""Henry I"", ""King Henry I of England""]",father
What is the capital of Andorra?,Andorra la Vella,"[""Andorra la Vella""]",capital
What is the religion of Bede?,Christianity,"[""Christianity"", ""Christian faith""]",religion
Who was the screenwriter for The Walk?,Robert Zemeckis,"[""Robert Zemeckis"", ""Robert L. Zemeckis"", ""Robert Lee Zemeckis""]",screenwriter
Who is the father of Aslaug?,Sigurd,"[""Sigurd"", ""Siegfried"", ""Sigfrido""]",father
Who was the screenwriter for Vithagan?,R. Parthiepan,"[""R. Parthiepan""]",screenwriter
Who was the screenwriter for La Piscine?,Jacques Deray,"[""Jacques Deray""]",screenwriter
In what country is Mas?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is Prague the capital of?,Central Bohemian Region,"[""Central Bohemian Region"", ""Středočeský kraj"", ""Central Bohemia"", ""Central Bohemia Region"", ""Czech Socialist Republic"", ""Czech SR"", ""Česká socialistická republika"", ""Czech Republic"", ""CZR"", ""cz"", ""Česko"", ""Česká republika"", ""ČR"", ""cze"", ""Czechia"", ""Czechoslovakia"", ""Czecho-Slovakia"", ""cs"", ""TCH"", ""Československo"", ""ČSFR"", ""Federation of Czechoslovakia"", ""People's Republic of Czechoslovakia"", ""CSFR"", ""Bohemia"", ""Kingdom of Bohemia"", ""České království"", ""Königreich Böhmen"", ""Regnum Bohemiae"", ""Czech Kingdom""]",capital of
What is the capital of Malawi?,Lilongwe,"[""Lilongwe""]",capital
"Who was the composer of Robinson Crusoe, Jr.?",Sigmund Romberg,"[""Sigmund Romberg"", ""Siegmund Rosenberg""]",composer
Who was the producer of I Will Follow?,Ava DuVernay,"[""Ava DuVernay"", ""Ava Marie DuVernay""]",producer
Who was the producer of Avatar?,James Cameron,"[""James Cameron"", ""James Francis Cameron"", ""Jim Cameron""]",producer
Who was the composer of Nancy?,Jimmy Van Heusen,"[""Jimmy Van Heusen"", ""James Van Heusen"", ""Edward Chester Babcock"", ""Arthur Williams""]",composer
What is the religion of Appalachian Bible College?,Baptists,"[""Baptists"", ""Baptist church"", ""Baptist""]",religion
Who was the director of The Fast and the Furious?,Rob Cohen,"[""Rob Cohen"", ""Robert Cohen""]",director
Who was the director of End of the Line?,Jay Russell,"[""Jay Russell""]",director
Who was the director of My Wife?,Tinto Brass,"[""Tinto Brass"", ""Mauro Bolognini"", ""Luigi Comencini""]",director
What is the capital of Bulgaria?,Sofia,"[""Sofia"", ""Serdica"", ""Sredez"", ""Sofija"", ""Sredets""]",capital
What is Galina Starovoytova's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
Who was the director of The Runner?,Amir Naderi,"[""Amir Naderi""]",director
What genre is North?,comedy film,"[""comedy film"", ""comedy movie""]",genre
Who was the producer of Aadmi Aur Aurat?,Doordarshan,"[""Doordarshan"", ""DD""]",producer
Who was the director of The King and I?,Walter Lang,"[""Walter Lang""]",director
Who was the director of Action?,John Ford,"[""John Ford"", ""Jack Ford"", ""John Martin Feeney""]",director
Who was the director of Sunshine State?,John Sayles,"[""John Sayles"", ""John Thomas Sayles""]",director
What genre is Back to the Future?,comedy film,"[""comedy film"", ""comedy movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
Who was the screenwriter for The River?,Jean Renoir,"[""Jean Renoir""]",screenwriter
What is Brussels Capital Region the capital of?,Burgundian Netherlands,"[""Burgundian Netherlands"", ""Western European Union"", ""European Economic Community"", ""EEC"", ""Common Market"", ""European Community"", ""Spanish Netherlands"", ""Austrian Netherlands""]",capital of
What genre is In Your Eyes?,romance film,"[""romance film"", ""romance genre"", ""romantic film""]",genre
Who is the father of Mithridates I of Parthia?,Phriapatius of Parthia,"[""Phriapatius of Parthia"", ""Phriapatius""]",father
In what city was Cornelis Springer born?,Amsterdam,"[""Amsterdam"", ""Mokum"", ""Amsterdam, NL"", ""Amsterdam, Netherlands"", ""A'dam""]",place of birth
Who was the composer of Orange?,Harris Jayaraj,"[""Harris Jayaraj""]",composer
What is the capital of Swedish Pomerania?,Szczecin,"[""Szczecin"", ""Stettin"", ""Stralsund""]",capital
In what city was Zsuzsanna Németh born?,Budapest,"[""Budapest"", ""Buda Pest"", ""Buda-Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Óbuda"", ""Alt-Ofen"", ""Kőbánya""]",place of birth
In what country is Medveščak?,Croatia,"[""Croatia"", ""Republic of Croatia"", ""HR"", ""HRV"", ""🇭🇷"", ""CRO""]",country
What is Bobby Henon's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
"Who was the screenwriter for Féminin, masculin?",Kiarash Anvari,"[""Kiarash Anvari""]",screenwriter
Who was the screenwriter for By the Sea?,Angelina Jolie,"[""Angelina Jolie"", ""Angelina Jolie Voight""]",screenwriter
In what city was Ted Williams born?,San Diego,"[""San Diego"", ""San Diego, California"", ""SD"", ""America's Finest City"", ""Sandi"", ""the birthplace of California""]",place of birth
Who was the producer of The Lost Children?,Disturbed,"[""Disturbed""]",producer
What is the capital of Wa State?,Pangkham,"[""Pangkham""]",capital
Who is the author of Exposure?,Mal Peet,"[""Mal Peet"", ""Malcolm Charles Peet""]",author
Who is the father of Malcolm Munthe?,Axel Munthe,"[""Axel Munthe""]",father
What is Rich Brightman's occupation?,singer-songwriter,"[""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter""]",occupation
What genre is Love Story?,romance film,"[""romance film"", ""romance genre"", ""romantic film"", ""film adaptation"", ""based upon"", ""adapted for the screen"", ""cinematic adaptation""]",genre
In what country is Francis?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""Can.""]",country
Who is the author of The Whole Family?,Henry James,"[""Henry James"", ""Henricus James"", ""Alice Brown"", ""William Dean Howells"", ""William Howells"", ""Elizabeth Jordan"", ""Elizabeth Garver Jordan""]",author
What sport does 1990–91 British Basketball League season play?,basketball,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB""]",sport
Who is the author of Crow?,Ted Hughes,"[""Ted Hughes"", ""Edward James Hughes""]",author
What is Felicia Chateloin's occupation?,architect,"[""architect""]",occupation
In what city was Léon-Lévy Brunswick born?,Paris,"[""Paris"", ""City of Light"", ""Paris, France""]",place of birth
Who was the producer of Saw II?,Gregg Hoffman,"[""Gregg Hoffman"", ""Oren Koules"", ""Mark Burg"", ""Leigh Whannell""]",producer
What genre is Dinosaur?,adventure film,"[""adventure film"", ""adventure movie"", ""adventure""]",genre
Who was the screenwriter for Oil?,Ben Elton,"[""Ben Elton"", ""Benjamin Charles Elton"", ""Rik Mayall"", ""Richard Michael Mayall"", ""Lise Mayer""]",screenwriter
Who was the screenwriter for The Intern?,Nancy Meyers,"[""Nancy Meyers"", ""Nancy Jane Meyers""]",screenwriter
"Who was the composer of Suddenly, Last Summer?",Buxton Orr,"[""Buxton Orr"", ""Malcolm Arnold"", ""Sir Malcolm Henry Arnold"", ""Malcolm Henry Arnold"", ""Sir Malcolm Arnold""]",composer
Who was the director of The Score?,Frank Oz,"[""Frank Oz"", ""Richard Frank Oznowicz"", ""Richard Oznowicz""]",director
Who was the screenwriter for Apartment?,Jag Mundhra,"[""Jag Mundhra""]",screenwriter
Who was the producer of The Piano?,Jan Chapman,"[""Jan Chapman""]",producer
Who is the father of Bill Haas?,Jay Haas,"[""Jay Haas""]",father
In what country is Oxford?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is Will Smith's occupation?,record producer,"[""record producer"", ""music producer"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
Who was the composer of Live Your Life?,T.I.,"[""T.I."", ""T.I.P"", ""Clifford Joseph Harris Jr."", ""Tip"", ""Clifford Harris Jr."", ""Just Blaze"", ""Justin Smith"", ""Justin Gregory Smith""]",composer
