question,correct_answer,possible_answers,type
Who is the author of The Pianoplayers?,Anthony Burgess,"[""Anthony Burgess"", ""John Anthony Burgess Wilson"", ""John Burgess Wilson"", ""Joseph Kell""]",author
Who is the author of 52?,Geoff Johns,"[""Geoff Johns"", ""Geoffrey Johns""]",author
Who is the author of Ice?,Jacek Dukaj,"[""Jacek Dukaj""]",author
Who is the author of Sir Thursday?,Garth Nix,"[""Garth Nix"", ""Garth Richard Nix""]",author
Who is the author of Silk?,Alessandro Baricco,"[""Alessandro Baricco""]",author
Who is the author of Sweetness?,Torgny Lindgren,"[""Torgny Lindgren"", ""Gustav Torgny Lindgren""]",author
Who is the author of The Bicentennial Man?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
Who is the author of Dreams?,Ivan Bunin,"[""Ivan Bunin"", ""Ivan Alekseyevich Bunin""]",author
Who is the author of Childhood?,Leo Tolstoy,"[""Leo Tolstoy"", ""Tolstoi"", ""Tolstoy"", ""Lev Nikolaevich, graf Tolstoĭ"", ""Lev Nikolayevich, Count Tolstoy"", ""Count Lev Tolstoy"", ""Leo, graf Tolstoy"", ""Lev, Count Tolstoy"", ""Lev, graf Tolsztoj"", ""Лев Николаевич,"", ""c граф Толстой"", ""Lew, graf Tolstoi"", ""Lev Nikolaevich Tolstoy"", ""Lev Tolstoy"", ""Count Leo Tolstoy""]",author
Who is the author of The Wyvern's Spur?,Kate Novak,"[""Kate Novak"", ""Jeff Grubb""]",author
Who is the author of Back Home?,Michelle Magorian,"[""Michelle Magorian""]",author
Who is the author of Fifteen?,Beverly Cleary,"[""Beverly Cleary"", ""Beverly Atlee Cleary""]",author
Who is the author of Palmetto Leaves?,Harriet Beecher Stowe,"[""Harriet Beecher Stowe"", ""Christopher Crowfield"", ""Harriet Elizabeth Beecher Stowe"", ""Enrieta Elizabeth Beecher Stowe"", ""Harriet Elizabeth Beecher"", ""Harriet Elisabeth Beecher Stowe""]",author
Who is the author of First Things First?,Stephen Covey,"[""Stephen Covey"", ""Stephen Richards Covey""]",author
Who is the author of The City?,Frans Masereel,"[""Frans Masereel"", ""Mai-sui-lai-le"", ""Frants Maserel"", ""Frans Masareel"", ""Fa-lang-shih Mai-sui-lai-le"", ""Masereel"", ""Frans Maserell""]",author
Who is the author of Bonaparte à Malte?,Frans Sammut,"[""Frans Sammut""]",author
Who is the author of A Christmas for Shacktown?,Carl Barks,"[""Carl Barks"", ""The Duck Man"", ""The Good Duck Artist""]",author
Who is the author of Linguistics Wars?,Noam Chomsky,"[""Noam Chomsky"", ""Avram Noam Chomsky"", ""A. Noam Chomsky"", ""Chomsky""]",author
Who is the author of The History of Joseph Smith by His Mother?,Lucy Mack Smith,"[""Lucy Mack Smith""]",author
Who is the author of The Star Rover?,Jack London,"[""Jack London"", ""John Griffith Chaney"", ""John Griffith \""Jack\"" London"", ""John Griffith Chaney London"", ""John Griffith \""Jack London\"" Chaney""]",author
Who is the author of Specials?,Scott Westerfeld,"[""Scott Westerfeld"", ""Scott David Westerfeld""]",author
Who is the author of Through the Looking-Glass?,Lewis Carroll,"[""Lewis Carroll"", ""Charles Dodgson"", ""Lewis Caroll"", ""Lewis Carroll Dodgson"", ""Charles Lutwidge Dodgson"", ""Lewis Carroll (Charles Lutwidge Dodgson)"", ""Rev. C. L. Dodgson"", ""Charles L. Dodgson""]",author
Who is the author of Nice People?,Rachel Crothers,"[""Rachel Crothers""]",author
Who is the author of The Whole Family?,Henry James,"[""Henry James"", ""Henricus James"", ""Alice Brown"", ""William Dean Howells"", ""William Howells"", ""Elizabeth Jordan"", ""Elizabeth Garver Jordan""]",author
Who is the author of Kim?,Rudyard Kipling,"[""Rudyard Kipling"", ""Joseph Rudyard Kipling"", ""R. Kipling"", ""Kipling""]",author
Who is the author of The Separation?,Christopher Priest,"[""Christopher Priest"", ""Christopher McKenzie Priest"", ""John Luther Novak"", ""Colin Wedgelock""]",author
Who is the author of Control?,William Goldman,"[""William Goldman"", ""S. Morgenstern"", ""Harry Longbaugh""]",author
Who is the author of Trends?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
Who is the author of Help Wanted?,Tim Hill,"[""Tim Hill"", ""Timothy Joseph \""Tim\"" Hill"", ""Timothy Joseph Hill"", ""Timothy Hill"", ""Pollo"", ""Stephen McDannell \""Steve\"" Hillenburg"", ""Steve Hilleburg"", ""Stephen Hillenberg"", ""Steve Hillenburg"", ""Stephen McDannell Hillenburg"", ""Derek Drymon"", ""Derek David Drymon"", ""Derek D. Drymon"", ""Derek Drayman"", ""Derek Dryman"", ""Dare Drymon""]",author
Who is the author of Falling?,Anne Provoost,"[""Anne Provoost""]",author
Who is the author of Road?,Jim Cartwright,"[""Jim Cartwright""]",author
Who is the author of Love All?,Molly Parkin,"[""Molly Parkin""]",author
Who is the author of The Hero?,Rabindranath Tagore,"[""Rabindranath Tagore"", ""Rabīndranātha Thākur"", ""Kabiguru"", ""Tagore"", ""Bishwakabi"", ""R. Tagore"", ""Rabindranat Tagor"", ""Bhanu Singha Thakur"", ""Gurudev"", ""Biswakabi"", ""Nyi Wang Gönpo"", ""Tagore, rabindranath""]",author
Who is the author of Three Hearts and Three Lions?,Poul Anderson,"[""Poul Anderson"", ""Poul William Anderson"", ""Winston P. Sanders"", ""A. A. Craig"", ""Michael Karageorge"", ""Petronius Arbiter Kingsley"", ""P. A. Kingsley""]",author
Who is the author of The Saint?,Wesley Strick,"[""Wesley Strick"", ""Burl Barer"", ""Jonathan Hensleigh"", ""Jonathan Blair Hensleigh"", ""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]",author
Who is the author of Home Country?,Ernie Pyle,"[""Ernie Pyle"", ""Ernest Taylor \""Ernie\"" Pyle"", ""Ernest Taylor Pyle""]",author
Who is the author of Finder?,Emma Bull,"[""Emma Bull""]",author
Who is the author of Molly Moon Stops the World?,Georgia Byng,"[""Georgia Byng"", ""Lady Georgia Mary Caroline Byng"", ""Lady Georgia Byng"", ""Georgia Mary Caroline Byng""]",author
Who is the author of Magic?,William Goldman,"[""William Goldman"", ""S. Morgenstern"", ""Harry Longbaugh""]",author
Who is the author of The Sun Chemist?,Lionel Davidson,"[""Lionel Davidson""]",author
Who is the author of Lotte's Gift?,David Williamson,"[""David Williamson"", ""David Keith Williamson""]",author
Who is the author of E?,Matt Beaumont,"[""Matt Beaumont""]",author
Who is the author of Genma Taisen?,Kazumasa Hirai,"[""Kazumasa Hirai""]",author
Who is the author of Old Man?,Neil Young,"[""Neil Young"", ""Neil Percival Young"", ""Shakey"", ""Godfather of Grunge"", ""Neil Percival Kenneth Robert Ragland Young""]",author
Who is the author of The Doubtful Guest?,Edward Gorey,"[""Edward Gorey"", ""Edward St. John Gorey"", ""Edward Saint John Gorey"", ""O. Mude"", ""Regera Dowdy"", ""Aedwyrd Goré"", ""Garrod Weedy"", ""Dogear Wryde"", ""E.D. Ward"", ""Ogdred Weary"", ""Eduard Blutig""]",author
Who is the author of Amazon?,Michael Crichton,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]",author
Who is the author of Searching for Dragons?,Patricia Wrede,"[""Patricia Wrede"", ""Patricia C. Wrede"", ""Patricia Collins Wrede""]",author
Who is the author of Faith?,Len Deighton,"[""Len Deighton"", ""Leonard Cyril Deighton""]",author
Who is the author of Fallen?,Karin Slaughter,"[""Karin Slaughter""]",author
Who is the author of Jumper?,Steven Gould,"[""Steven Gould"", ""Steven Charles Gould""]",author
Who is the author of Mars?,Fuyumi Soryo,"[""Fuyumi Soryo"", ""Fuyumi Sōryō"", ""Fuyumi Souryou"", ""Soryo Fuyumi"", ""Sōryō Fuyumi"", ""Souryou Fuyumi""]",author
Who is the author of My Life?,Leon Trotsky,"[""Leon Trotsky"", ""N. Trotsky"", ""Lev Bronstein"", ""Lev Davidovich Bronshtein"", ""Lev Davidovich Bronstein"", ""Leon Trotski""]",author
Who is the author of Tanya?,Shneur Zalman of Liadi,"[""Shneur Zalman of Liadi"", ""Rabbi Shneur Zalman of Liadi"", ""Alter Rebbe"", ""Baal HaTanya"", ""Baal HaTanya Vehashulchan Aruch"", ""Rabbi Shneur Zalman Baruchovitch""]",author
Who is the author of Rich Dad Poor Dad?,Robert Kiyosaki,"[""Robert Kiyosaki"", ""Robert Toru Kiyosaki"", ""Robert T. Kiyosaki""]",author
Who is the author of The Victim?,Saul Bellow,"[""Saul Bellow"", ""Solomon Bellows""]",author
Who is the author of The Mitfords: Letters Between Six Sisters?,Mitford family,"[""Mitford family"", ""Mitford sisters"", ""Diana Mitford"", ""Diana Mosley"", ""Diana, Lady Mosley"", ""Diana Guinness""]",author
Who is the author of Chance?,Joseph Conrad,"[""Joseph Conrad"", ""Jozef Teodor Konrad Korzeniowski""]",author
Who is the author of The Husband?,Dean Koontz,"[""Dean Koontz"", ""Dean Ray Koontz"", ""Aaron Wolfe"", ""Brian Coffey"", ""David Axton"", ""Deanna Dwyer"", ""John Hill"", ""K.R. Dwyer"", ""Leigh Nichols"", ""Anthony North"", ""Owen West"", ""Richard Paige""]",author
Who is the author of The Queen's Nose?,Dick King-Smith,"[""Dick King-Smith"", ""Ronald Gordon King-Smith""]",author
Who is the author of Missing?,Karin Alvtegen,"[""Karin Alvtegen""]",author
Who is the author of Next?,Terrence McNally,"[""Terrence McNally""]",author
Who is the author of Christine?,Stephen King,"[""Stephen King"", ""Stephen Edwin King"", ""Richard Bachman"", ""John Swithen""]",author
Who is the author of The Post Office?,Rabindranath Tagore,"[""Rabindranath Tagore"", ""Rabīndranātha Thākur"", ""Kabiguru"", ""Tagore"", ""Bishwakabi"", ""R. Tagore"", ""Rabindranat Tagor"", ""Bhanu Singha Thakur"", ""Gurudev"", ""Biswakabi"", ""Nyi Wang Gönpo"", ""Tagore, rabindranath""]",author
Who is the author of Exposure?,Mal Peet,"[""Mal Peet"", ""Malcolm Charles Peet""]",author
Who is the author of Collision?,Jeff Abbott,"[""Jeff Abbott""]",author
Who is the author of Let's Take the Long Way Home?,Gail Caldwell,"[""Gail Caldwell""]",author
Who is the author of Century?,Fred Mustard Stewart,"[""Fred Mustard Stewart""]",author
Who is the author of Camino Real?,Tennessee Williams,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]",author
Who is the author of The Tree?,H. P. Lovecraft,"[""H. P. Lovecraft"", ""Howard Phillips Lovecraft"", ""H.P. Lovecraft"", ""Lovecraft"", ""Ward Phillips"", ""HP Lovecraft"", ""Richard Raleigh"", ""Edgar Softly"", ""Augustus T. Swift"", ""Lewis Theobald, Jr."", ""Albert Frederick Willie"", ""Humphrey Littlewit""]",author
Who is the author of Getaway?,Leslie Charteris,"[""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]",author
Who is the author of Night?,William Blake,"[""William Blake"", ""W. Blake"", ""Uil'iam Bleik"", ""Blake""]",author
Who is the author of Beaches?,Iris Rainer Dart,"[""Iris Rainer Dart""]",author
Who is the author of 23 Years?,Ali Dashti,"[""Ali Dashti""]",author
Who is the author of The Gashlycrumb Tinies?,Edward Gorey,"[""Edward Gorey"", ""Edward St. John Gorey"", ""Edward Saint John Gorey"", ""O. Mude"", ""Regera Dowdy"", ""Aedwyrd Goré"", ""Garrod Weedy"", ""Dogear Wryde"", ""E.D. Ward"", ""Ogdred Weary"", ""Eduard Blutig""]",author
Who is the author of Plus?,Joseph McElroy,"[""Joseph McElroy"", ""Joseph Prince McElroy""]",author
Who is the author of 1985?,Anthony Burgess,"[""Anthony Burgess"", ""John Anthony Burgess Wilson"", ""John Burgess Wilson"", ""Joseph Kell""]",author
Who is the author of Always?,Karen Joy Fowler,"[""Karen Joy Fowler""]",author
Who is the author of Chronicon?,Jerome,"[""Jerome"", ""Eusebius Sophronius Hieronymus"", ""Saint Jerome"", ""St. Jerome"", ""Hieronymus"", ""Saint Heronimos"", ""Saint Hieronymus"", ""Sophronius Eusebius Hieronymus"", ""Eusebius Hieronymus""]",author
Who is the author of The Gathering?,Kelley Armstrong,"[""Kelley Armstrong"", ""Sarah""]",author
Who is the author of The Economics and Ethics of Private Property?,Hans-Hermann Hoppe,"[""Hans-Hermann Hoppe""]",author
Who is the author of Psyché?,Philippe Quinault,"[""Philippe Quinault"", ""Quinault"", ""Pierre Corneille""]",author
Who is the author of Hacker News?,Paul Graham,"[""Paul Graham""]",author
Who is the author of Ahead of Time?,Henry Kuttner,"[""Henry Kuttner"", ""Smith, Woodrow Wilson""]",author
Who is the author of Delenda Est?,Poul Anderson,"[""Poul Anderson"", ""Poul William Anderson"", ""Winston P. Sanders"", ""A. A. Craig"", ""Michael Karageorge"", ""Petronius Arbiter Kingsley"", ""P. A. Kingsley""]",author
Who is the author of Big Money?,P. G. Wodehouse,"[""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""P.G. Wodehouse""]",author
Who is the author of Wolf?,Gillian Cross,"[""Gillian Cross""]",author
Who is the author of The Every Boy?,Dana Adam Shapiro,"[""Dana Adam Shapiro""]",author
Who is the author of The Middle Years?,Henry James,"[""Henry James"", ""Henricus James""]",author
Who is the author of Keeper of Dreams?,Orson Scott Card,"[""Orson Scott Card"", ""Brian Green"", ""Frederick Bliss"", ""Byron Walley"", ""Scott Richards"", ""Dinah Kirkham"", ""P.Q. Gump"", ""Byron S. Walley""]",author
Who is the author of Capitol?,Orson Scott Card,"[""Orson Scott Card"", ""Brian Green"", ""Frederick Bliss"", ""Byron Walley"", ""Scott Richards"", ""Dinah Kirkham"", ""P.Q. Gump"", ""Byron S. Walley""]",author
Who is the author of The Unicorn in the Garden?,James Thurber,"[""James Thurber"", ""James Grover Thurber""]",author
Who is the author of Chaotic?,Kelley Armstrong,"[""Kelley Armstrong"", ""Sarah""]",author
Who is the author of Chew?,John Layman,"[""John Layman"", ""John Steele Layman""]",author
Who is the author of The Temple?,Stephen Spender,"[""Stephen Spender"", ""Stephen Harold Spender"", ""Sir Stephen Harold Spender""]",author
Who is the author of Poil de carotte?,Jules Renard,"[""Jules Renard"", ""Pierre-Jules Renard""]",author
Who is the author of Visions of the Universe?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
Who is the author of Sometime Never...?,Justin Richards,"[""Justin Richards"", ""Justin C Richards""]",author
Who is the author of Embrace?,Mark Behr,"[""Mark Behr""]",author
Who is the author of The Unvanquished?,William Faulkner,"[""William Faulkner"", ""William Cuthbert Faulkner"", ""William Falkner"", ""William Cuthbert Falkner""]",author
Who is the author of Resistance?,Mike Costa,"[""Mike Costa""]",author
Who is the author of Common Sense?,Tony Benn,"[""Tony Benn"", ""Anthony Neil Wedgwood Benn""]",author
Who is the author of Chase?,Dean Koontz,"[""Dean Koontz"", ""Dean Ray Koontz"", ""Aaron Wolfe"", ""Brian Coffey"", ""David Axton"", ""Deanna Dwyer"", ""John Hill"", ""K.R. Dwyer"", ""Leigh Nichols"", ""Anthony North"", ""Owen West"", ""Richard Paige""]",author
Who is the author of Freezing?,Lim Dall-young,"[""Lim Dall-young""]",author
Who is the author of Anything Goes?,Howard Lindsay,"[""Howard Lindsay"", ""Herman Nelke"", ""Russel Crouse"", ""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""P.G. Wodehouse"", ""Guy Bolton"", ""H. B. Trevelyan"", ""Guy Reginald Bolton""]",author
Who is the author of The Graduate?,Charles Webb,"[""Charles Webb"", ""Charles Richard Webb""]",author
Who is the author of Lighthouse?,Eugenia Price,"[""Eugenia Price""]",author
Who is the author of The Melancholy Death of Oyster Boy & Other Stories?,Tim Burton,"[""Tim Burton"", ""Timothy Burton"", ""Timothy William Burton"", ""Timothy Walter Burton""]",author
Who is the author of Little Things?,Raymond Carver,"[""Raymond Carver""]",author
Who is the author of To Die For?,Linda Howard,"[""Linda Howard"", ""Linda S. Howington""]",author
Who is the author of Into the Woods?,Lyn Gardner,"[""Lyn Gardner""]",author
Who is the author of Disclosure?,Michael Crichton,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]",author
Who is the author of On the Road?,Jack Kerouac,"[""Jack Kerouac"", ""Jean-Louis Lebris de Kérouac"", ""Jean-Louis Lebris de Kerouac"", ""Kerouac"", ""Jean-Louis Kerouac""]",author
Who is the author of Pearl?,John Arden,"[""John Arden""]",author
Who is the author of The Media Elite?,Samuel Robert Lichter,"[""Samuel Robert Lichter""]",author
Who is the author of Classic?,Cecily von Ziegesar,"[""Cecily von Ziegesar"", ""Cecily Brooke von Ziegesar""]",author
Who is the author of Evidence?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
Who is the author of Kitty Pryde and Wolverine?,Chris Claremont,"[""Chris Claremont""]",author
Who is the author of Mother?,Owen Wister,"[""Owen Wister""]",author
Who is the author of Persuasion?,Jane Austen,"[""Jane Austen""]",author
Who is the author of After the End?,Dennis Kelly,"[""Dennis Kelly""]",author
Who is the author of 8?,Dustin Lance Black,"[""Dustin Lance Black""]",author
Who is the author of Only Human?,Gareth Roberts,"[""Gareth Roberts"", ""Gareth John Pritchard Roberts""]",author
Who is the author of The Girl?,Meridel Le Sueur,"[""Meridel Le Sueur""]",author
Who is the author of The Walking Dead?,Robert Kirkman,"[""Robert Kirkman""]",author
Who is the author of The Company?,Robert Littell,"[""Robert Littell""]",author
Who is the author of Meltdown?,Thomas Woods,"[""Thomas Woods""]",author
Who is the author of The Town?,William Faulkner,"[""William Faulkner"", ""William Cuthbert Faulkner"", ""William Falkner"", ""William Cuthbert Falkner""]",author
Who is the author of Just a Matter of Time?,James Hadley Chase,"[""James Hadley Chase"", ""René Lodge Brabazon Raymond"", ""Ambrose Grant"", ""R. Raymond"", ""Raymond Marshall"", ""James L. Docherty"", ""Rene Lodge Brabazon Raymond"", ""James L. Dochery""]",author
Who is the author of Vast?,Linda Nagata,"[""Linda Nagata"", ""Linda Webb Nagata"", ""Trey Shiels""]",author
Who is the author of Fruits?,Valerie Bloom,"[""Valerie Bloom""]",author
Who is the author of Scary Godmother?,Jill Thompson,"[""Jill Thompson""]",author
Who is the author of Crave?,Sarah Kane,"[""Sarah Kane"", ""Sarah Marie Kane""]",author
Who is the author of Those Who Hunt the Night?,Barbara Hambly,"[""Barbara Hambly"", ""Barbara Hamilton (pseudonym)"", ""Barbara Hamilton""]",author
Who is the author of Whatever?,Michel Houellebecq,"[""Michel Houellebecq""]",author
Who is the author of Last Days?,Adam Nevill,"[""Adam Nevill"", ""Nevill, Adam L. G.""]",author
Who is the author of Landscape?,Harold Pinter,"[""Harold Pinter""]",author
Who is the author of The Information?,Martin Amis,"[""Martin Amis"", ""Martin Louis Amis""]",author
Who is the author of Gold?,Wilbur Smith,"[""Wilbur Smith"", ""Wilbur Addison Smith""]",author
Who is the author of How It Is?,Samuel Beckett,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]",author
Who is the author of Pictures?,Katherine Mansfield,"[""Katherine Mansfield"", ""Katherine Mansfield Beauchamp Murry"", ""Kathleen Murry"", ""Katherine Beauchamp Mansfield"", ""Kathleen Mansfield Murry""]",author
Who is the author of Shift?,Dale Peck,"[""Dale Peck"", ""Tim Kring"", ""Richard Timothy \""Tim\"" Kring"", ""Richard Timothy Kring""]",author
Who is the author of Dragon?,Laurence Yep,"[""Laurence Yep"", ""Laurence Michael Yep""]",author
Who is the author of Lincoln?,Gore Vidal,"[""Gore Vidal"", ""Eugene Luther Gore Vidal"", ""Gor Vidal"", ""Cameron Kay"", ""Eugene Luther Vidal"", ""Edgar Box"", ""Katherine Everard"", ""Eugene Vidal""]",author
Who is the author of Federation?,H. Beam Piper,"[""H. Beam Piper"", ""Henry Beam Piper"", ""Horace Beam Piper"", ""Herbert Beam Piper""]",author
Who is the author of Blake?,Elliott Hayes,"[""Elliott Hayes""]",author
Who is the author of The Third Gate?,Lincoln Child,"[""Lincoln Child""]",author
Who is the author of Blood Test?,Jonathan Kellerman,"[""Jonathan Kellerman"", ""Jonathan Seth Kellerman""]",author
Who is the author of Down?,Lawrence Miles,"[""Lawrence Miles""]",author
Who is the author of The Jungle?,Upton Sinclair,"[""Upton Sinclair"", ""Upton Beall Sinclair"", ""Clarke Fitch"", ""Frederick Garrison"", ""Arthur Stirling"", ""Upton Sinclair Jr.""]",author
Who is the author of Precaution?,James Fenimore Cooper,"[""James Fenimore Cooper""]",author
Who is the author of Empire?,Barry Kitson,"[""Barry Kitson""]",author
Who is the author of The Grave?,James Heneghan,"[""James Heneghan""]",author
Who is the author of The Clouds?,Aristophanes,"[""Aristophanes"", ""Father of Comedy""]",author
"Who is the author of Washington, D.C.?",Gore Vidal,"[""Gore Vidal"", ""Eugene Luther Gore Vidal"", ""Gor Vidal"", ""Cameron Kay"", ""Eugene Luther Vidal"", ""Edgar Box"", ""Katherine Everard"", ""Eugene Vidal""]",author
Who is the author of The Arab Mind?,Raphael Patai,"[""Raphael Patai""]",author
Who is the author of Therapy?,Jonathan Kellerman,"[""Jonathan Kellerman"", ""Jonathan Seth Kellerman""]",author
Who is the author of Gowie Corby Plays Chicken?,Gene Kemp,"[""Gene Kemp""]",author
Who is the author of Opus?,Michael Hollinger,"[""Michael Hollinger""]",author
Who is the author of Wake?,Jean-David Morvan,"[""Jean-David Morvan""]",author
Who is the author of Holiday?,Philip Barry,"[""Philip Barry""]",author
Who is the author of An Age?,Brian Aldiss,"[""Brian Aldiss"", ""Brian Wilson Aldiss"", ""Brian W. Aldiss"", ""Jael Cracken"", ""Dr. Peristyle"", ""C. C. Shackleton""]",author
Who is the author of The Great Automatic Grammatizator?,Roald Dahl,"[""Roald Dahl"", ""Wing Commander Roald Dahl""]",author
Who is the author of Second Chance?,Orson Scott Card,"[""Orson Scott Card"", ""Brian Green"", ""Frederick Bliss"", ""Byron Walley"", ""Scott Richards"", ""Dinah Kirkham"", ""P.Q. Gump"", ""Byron S. Walley""]",author
Who is the author of The History of The Lord of the Rings?,Christopher Tolkien,"[""Christopher Tolkien"", ""Christopher Reuel Tolkien"", ""Christopher John Reuel Tolkien""]",author
Who is the author of Gold?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
Who is the author of Confidence?,Henry James,"[""Henry James"", ""Henricus James""]",author
Who is the author of Hoboken-Verzeichnis?,Anthony van Hoboken,"[""Anthony van Hoboken""]",author
Who is the author of Tuesday?,David Wiesner,"[""David Wiesner""]",author
Who is the author of A Report to an Academy?,Franz Kafka,"[""Franz Kafka"", ""František Kafka"", ""Kafka""]",author
Who is the author of The New Science?,Giambattista Vico,"[""Giambattista Vico"", ""Gianbattista Vico"", ""Giovan Battista Vico""]",author
Who is the author of Metropolitan?,Walter Jon Williams,"[""Walter Jon Williams""]",author
Who is the author of Sorry?,Gail Jones,"[""Gail Jones""]",author
Who is the author of The Well?,Elizabeth Jolley,"[""Elizabeth Jolley"", ""Monica Elizabeth Jolley"", ""Monica Elizabeth Knight""]",author
Who is the author of Escape?,John Galsworthy,"[""John Galsworthy"", ""John Sinjohn""]",author
Who is the author of The Mysterious Mr Quin?,Agatha Christie,"[""Agatha Christie"", ""Agatha Mary Clarissa Christie"", ""Agatha Mary Clarissa Miller"", ""Mary Westmacott"", ""Agatha Mary Clarissa Mallowan""]",author
Who is the author of Jääpeili?,Aaro Hellaakoski,"[""Aaro Hellaakoski"", ""Aaro Antti Hellaakoski""]",author
Who is the author of This is Not My Hat?,Jon Klassen,"[""Jon Klassen""]",author
Who is the author of Easy Money?,Jens Lapidus,"[""Jens Lapidus"", ""Jens Jacob Lapidus""]",author
Who is the author of The Celebrated Jumping Frog of Calaveras County?,Mark Twain,"[""Mark Twain"", ""Samuel Langhorne Clemens"", ""Samuel L. Clemens"", ""Samuel Clemens""]",author
Who is the author of The Discarded?,Harlan Ellison,"[""Harlan Ellison"", ""Harlan Jay Ellison""]",author
Who is the author of Prime Time?,Mike Tucker,"[""Mike Tucker""]",author
Who is the author of My Heart Leaps Up?,William Wordsworth,"[""William Wordsworth"", ""Wordsworth""]",author
Who is the author of Natalka Poltavka?,Ivan Kotliarevskyi,"[""Ivan Kotliarevskyi"", ""Ivan Petrovych Kotlyarevsky"", ""Ivan Kotliarevsky"", ""Ivan Kotlyarevsky"", ""Ivan Petrovych Kotliarevskyi"", ""Ivan Petrovych Kotliarevsky""]",author
Who is the author of Come and Go?,Samuel Beckett,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]",author
Who is the author of The Will to Power?,Friedrich Nietzsche,"[""Friedrich Nietzsche"", ""Frîdrîk Nîtşe"", ""Fridrih Wilhelm Niče"", ""Friedrich Wilhelm Nietzsche"", ""Federico Nietzsche"", ""Frédéric Nietzsche"", ""Friederich Nietzsche"", ""Fryderyk Nietzsche"", ""Fridrikh Nitche"", ""Frederic Nietzsche"", ""Phreiderikos Nitse""]",author
Who is the author of The Game?,Harold Brighouse,"[""Harold Brighouse""]",author
Who is the author of The Italian?,Ann Radcliffe,"[""Ann Radcliffe"", ""Ann Ward"", ""Anne Radcliffe"", ""Anne Ward"", ""Ann Ward Radcliffe"", ""Ann Ward, Mrs. Radcliffe"", ""Ann Radcliffe, née Ward""]",author
Who is the author of Experience?,Martin Amis,"[""Martin Amis"", ""Martin Louis Amis""]",author
Who is the author of A Bird came down the Walk —?,Emily Dickinson,"[""Emily Dickinson"", ""Emily Elizabeth Dickinson"", ""Ai-mi-li Ti-chin-sen"", ""Emilia Dickinson""]",author
Who is the author of The Storm?,Daniel Defoe,"[""Daniel Defoe"", ""Daniel Foe""]",author
Who is the author of Trust Territory?,Janet Morris,"[""Janet Morris"", ""Janet Ellen Morris"", ""Janet E. Morris""]",author
Who is the author of Galax-Arena?,Gillian Rubinstein,"[""Gillian Rubinstein""]",author
Who is the author of Two Women?,Alberto Moravia,"[""Alberto Moravia"", ""Alberto Pincherle""]",author
Who is the author of Power?,Nick Dear,"[""Nick Dear""]",author
Who is the author of Miracle?,Danielle Steel,"[""Danielle Steel"", ""Danielle Fernandes Dominique Schülein-Steel"", ""Danielle Fernandes Dominique Schuelein-Steel""]",author
Who is the author of Principia Discordia?,Malaclypse the Younger,"[""Malaclypse the Younger"", ""Gregory Hill"", ""Greg Hill"", ""Mal-2"", ""Kerry Wendell Thornley"", ""Lord Omar Khayyam Ravenhurst"", ""Ho Chi Zen"", ""Kerry Thornley""]",author
Who is the author of Balance of Power?,Dafydd ab Hugh,"[""Dafydd ab Hugh""]",author
Who is the author of The Stud?,Jackie Collins,"[""Jackie Collins"", ""Jacqueline Jill Collins""]",author
Who is the author of Panic?,Archibald MacLeish,"[""Archibald MacLeish""]",author
Who is the author of The Rest of the Robots?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
Who is the author of The Lie?,Georges Sari,"[""Georges Sari""]",author
Who is the author of Fade?,Robert Cormier,"[""Robert Cormier"", ""Robert Edmund Cormier""]",author
Who is the author of When I have Fears that I may Cease to Be?,John Keats,"[""John Keats""]",author
